areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2022-05-19,6818,22242512,5621,21054137,1197,1188375
overview,United Kingdom,K02000001,2022-05-18,7636,22235694,6366,21048516,1270,1187178
overview,United Kingdom,K02000001,2022-05-17,8284,22228058,6900,21042150,1384,1185908
overview,United Kingdom,K02000001,2022-05-16,9417,22219774,7742,21035250,1675,1184524
overview,United Kingdom,K02000001,2022-05-15,7973,22210357,6687,21027508,1286,1182849
overview,United Kingdom,K02000001,2022-05-14,6118,22202384,5157,21020821,961,1181563
overview,United Kingdom,K02000001,2022-05-13,6937,22196266,5885,21015664,1052,1180602
overview,United Kingdom,K02000001,2022-05-12,7638,22189329,6434,21009779,1204,1179550
overview,United Kingdom,K02000001,2022-05-11,8722,22181691,7305,21003345,1417,1178346
overview,United Kingdom,K02000001,2022-05-10,9743,22172969,8135,20996040,1608,1176929
overview,United Kingdom,K02000001,2022-05-09,10694,22163226,8902,20987905,1792,1175321
overview,United Kingdom,K02000001,2022-05-08,9062,22152532,7604,20979003,1458,1173529
overview,United Kingdom,K02000001,2022-05-07,7516,22143470,6438,20971399,1078,1172071
overview,United Kingdom,K02000001,2022-05-06,8943,22135954,7593,20964961,1350,1170993
overview,United Kingdom,K02000001,2022-05-05,10211,22127011,8599,20957368,1612,1169643
overview,United Kingdom,K02000001,2022-05-04,11663,22116800,9846,20948769,1817,1168031
overview,United Kingdom,K02000001,2022-05-03,13309,22105137,11158,20938923,2151,1166214
overview,United Kingdom,K02000001,2022-05-02,11891,22091828,10061,20927765,1830,1164063
overview,United Kingdom,K02000001,2022-05-01,9032,22079937,7778,20917704,1254,1162233
overview,United Kingdom,K02000001,2022-04-30,8355,22070905,7241,20909926,1114,1160979
overview,United Kingdom,K02000001,2022-04-29,10007,22062550,8627,20902685,1380,1159865
overview,United Kingdom,K02000001,2022-04-28,11599,22052543,9905,20894058,1694,1158485
overview,United Kingdom,K02000001,2022-04-27,13050,22040944,11149,20884153,1901,1156791
overview,United Kingdom,K02000001,2022-04-26,14562,22027894,12465,20873004,2097,1154890
overview,United Kingdom,K02000001,2022-04-25,17124,22013332,14455,20860539,2669,1152793
overview,United Kingdom,K02000001,2022-04-24,14718,21996208,12704,20846084,2014,1150124
overview,United Kingdom,K02000001,2022-04-23,13206,21981490,11609,20833380,1597,1148110
overview,United Kingdom,K02000001,2022-04-22,15696,21968284,13596,20821771,2100,1146513
overview,United Kingdom,K02000001,2022-04-21,18462,21952588,16020,20808175,2442,1144413
overview,United Kingdom,K02000001,2022-04-20,21445,21934126,18667,20792155,2778,1141971
overview,United Kingdom,K02000001,2022-04-19,25766,21912681,22232,20773488,3534,1139193
overview,United Kingdom,K02000001,2022-04-18,25215,21886915,21960,20751256,3255,1135659
overview,United Kingdom,K02000001,2022-04-17,20144,21861700,17847,20729296,2297,1132404
overview,United Kingdom,K02000001,2022-04-16,19918,21841556,17791,20711449,2127,1130107
overview,United Kingdom,K02000001,2022-04-15,21610,21821638,19217,20693658,2393,1127980
overview,United Kingdom,K02000001,2022-04-14,26638,21800028,23602,20674441,3036,1125587
overview,United Kingdom,K02000001,2022-04-13,31684,21773390,28124,20650839,3560,1122551
overview,United Kingdom,K02000001,2022-04-12,33769,21741706,29816,20622715,3953,1118991
overview,United Kingdom,K02000001,2022-04-11,37368,21707937,32874,20592899,4494,1115038
overview,United Kingdom,K02000001,2022-04-10,30947,21670569,27583,20560025,3364,1110544
overview,United Kingdom,K02000001,2022-04-09,27878,21639622,24836,20532442,3042,1107180
overview,United Kingdom,K02000001,2022-04-08,32980,21611744,29249,20507606,3731,1104138
overview,United Kingdom,K02000001,2022-04-07,38703,21578764,34162,20478357,4541,1100407
overview,United Kingdom,K02000001,2022-04-06,44742,21540061,39527,20444195,5215,1095866
overview,United Kingdom,K02000001,2022-04-05,49098,21495319,43479,20404668,5619,1090651
overview,United Kingdom,K02000001,2022-04-04,53765,21446221,47416,20361189,6349,1085032
overview,United Kingdom,K02000001,2022-04-03,42191,21392456,37607,20313773,4584,1078683
overview,United Kingdom,K02000001,2022-04-02,37600,21350265,33605,20276166,3995,1074099
overview,United Kingdom,K02000001,2022-04-01,47496,21312665,42295,20242561,5201,1070104
overview,United Kingdom,K02000001,2022-03-31,54809,21265169,48618,20200266,6191,1064903
overview,United Kingdom,K02000001,2022-03-30,73684,21210360,65016,20151648,8668,1058712
overview,United Kingdom,K02000001,2022-03-29,80167,21136676,70654,20086632,9513,1050044
overview,United Kingdom,K02000001,2022-03-28,92917,21056509,81545,20015978,11372,1040531
overview,United Kingdom,K02000001,2022-03-27,68349,20963592,60612,19934433,7737,1029159
overview,United Kingdom,K02000001,2022-03-26,61463,20895243,54972,19873821,6491,1021422
overview,United Kingdom,K02000001,2022-03-25,72453,20833780,64442,19818849,8011,1014931
overview,United Kingdom,K02000001,2022-03-24,82929,20761327,73653,19754407,9276,1006920
overview,United Kingdom,K02000001,2022-03-23,94211,20678398,83474,19680754,10737,997644
overview,United Kingdom,K02000001,2022-03-22,99135,20584187,87789,19597280,11346,986907
overview,United Kingdom,K02000001,2022-03-21,109328,20485052,96438,19509491,12890,975561
overview,United Kingdom,K02000001,2022-03-20,81078,20375724,72213,19413053,8865,962671
overview,United Kingdom,K02000001,2022-03-19,67435,20294646,60619,19340840,6816,953806
overview,United Kingdom,K02000001,2022-03-18,75307,20227211,67415,19280221,7892,946990
overview,United Kingdom,K02000001,2022-03-17,82883,20151904,73955,19212806,8928,939098
overview,United Kingdom,K02000001,2022-03-16,91797,20069021,81918,19138851,9879,930170
overview,United Kingdom,K02000001,2022-03-15,93703,19977224,83677,19056933,10026,920291
overview,United Kingdom,K02000001,2022-03-14,99868,19883521,88982,18973256,10886,910265
